cep;logradouro
03254-050;Rua Horácio de Carvalho
03254-060;Rua João Homem da Costa
03254-070;Rua José Ferreira Paz
03254-080;Rua Moisés Rodrigues dos Santos
03254-090;Rua Coronel Antônio de Sá Barreto
03254-110;Rua Alma Gluck
03254-120;Rua Doutor Monteiro de Barros
03254-130;Rua dos Papagaios
03254-140;Rua Agostinha de Souza Monteiro
03254-150;Rua Abunini
03254-160;Rua Pomerode
03254-170;Rua Romario Martins
03254-180;Rua Veloso de Miranda
03254-190;Rua Solar dos Pinheiros
03254-200;Rua Torre Azul
03254-210;Rua Três Lagoas
03254-220;Rua Matias Olímpio
03254-230;Rua Siparuna
03254-240;Rua Água Bonita
03254-250;Rua Antônio Taroni
03254-260;Praça Almirante Custódio de Melo
03254-270;Travessa Antônia Rodrigues Cantos
03254-280;Rua Arroio São Nicolau
03254-290;Rua Cachoeira Nova Vida
03254-300;Rua Cachoeira Santa Helena
03254-310;Rua Igarapé dos Anjos
03254-320;Rua Igarapé do Antônio
03254-330;Rua Igarapé Flores
03254-340;Rua Igarapé das Rosas
03254-350;Rua Arroio Bonito
03254-360;Rua Arroio do Conde
03254-370;Rua Arroio Real
03254-380;Rua Cachoeira da Bandeira
03254-390;Rua Cachoeira São Benedito
03254-400;Rua Cachoeira Formosa
03254-410;Travessa Giusepe Amendola
03255-000;Rua José Antônio Fontes
03255-005;Travessa Antonio Campiotto
03255-010;Rua Alves José
03255-015;Rua Miguel Emílio Bertagnon
03255-020;Rua Tapiramuta
03255-030;Rua Benjamin Pessoa
03255-040;Rua José Freire
03256-000;Rua Coronel Augusto Celso de Moura
03256-010;Rua Padre Almeida Silva
03256-020;Rua Irmã Maria Umbelina
03256-030;Rua Maestro João Evangelista
03256-040;Rua Antônio Alves Santos
03256-045;Rua Baleeiro
03256-050;Travessa Clélia Freire
03256-055;Travessa Maria Elídia Zanetti
03256-060;Praça Luiz Augusto Canteiro
03256-065;Travessa Maria Elídia Zanetti
03256-070;Travessa Almoadas
03256-080;Praça Vicente Sanchez Garrido
03257-000;Rua Ana Clara
03257-010;Rua Alto Alegre
03257-020;Rua Santa Zita
03257-030;Rua Orocó
03257-040;Rua Quijingue
03257-050;Rua Paschoal Leite Paes
03257-060;Rua Manuel de Avita
03257-070;Rua Antônio de Almeida
03257-080;Rua Pedro de Souza Barros
03257-090;Rua Diogo Barbosa Barreto
03257-110;Rua Francisco Narde de Vasconcelos
03257-120;Rua Álvaro de Morais Madureira
03257-130;Rua Lucas de Camargo
03257-140;Rua Jorge Silva Luz
03257-150;Rua Professor Walter Wey
03257-160;Rua Francisco Pinheiro Gordis
03257-170;Rua Arenito
03257-180;Rua Pascoal Ranieri Mazzilli
03257-190;Avenida Marginal
03257-906;Avenida Vila Ema 119
03258-000;Rua Lourenço Franco
03258-010;Rua Amador Pereira
03258-020;Rua Caetano Fiorese
03258-030;Rua André da Cunha Fonseca
03258-040;Rua Paulo da Costa Agostinho
03258-050;Rua Francisco Bueno Luís
03258-060;Rua Antônio Mendes
03258-070;Rua Bernardo Pedroso
03258-080;Rua Amélio
03258-090;Rua Afonso Bezerra
03259-000;Rua Adolfo de Menezes
03259-010;Travessa Roberto Jorge
03259-020;Rua das Fontainhas
03259-030;Rua Jovim
03259-040;Rua Guarajuba
03259-050;Rua Luís da Guerra
03259-060;Rua Medeiros Neto
03259-070;Rua Henrique Galvão
03259-080;Rua Mário Magalhães
03259-090;Rua Francisco Palma Travassos
03259-110;Rua Leonildo Diogo
03259-120;Rua Marrocos
03260-000;Avenida Casa Grande
03260-005;Praça Tenente-Coronel Nelson de Paula Campos
03260-010;Rua Ana César
03260-020;Rua Gonzaga Neves
03260-030;Rua Rosabela da Silva
03260-040;Rua Emílio Jafet Filho
03261-000;Rua Antônio Rodrigues dos Ouros
03261-010;Rua Domingos da Silva Bueno
03261-020;Rua João Pimentel de Távora
03261-030;Rua Manuel Luís Ferraz
03261-040;Rua Bartolomeu Corrêa Bueno
03261-050;Rua João Vidal de Siqueira
03261-060;Rua Tomás Pereira Valente
03261-070;Rua Lupe Cotrim Garaude
03261-080;Rua Joaquim Ribeiro da Costa
03261-090;Rua Fernão Lopes de Camargo
03261-110;Rua Carlos Censi
03262-000;Rua Manuel da Costa
03262-010;Rua Sebastião Borges da Silva
03262-030;Rua Domingos Pires Brito
03262-040;Rua Professor Lélis Vilas Boas
03262-050;Rua Osvaldo Marques
03262-060;Rua Alberto Romani Horta
03262-070;Rua Professor Máximo de Moura Santos
03262-080;Rua Doutor Arnaldo Barbosa
03263-000;Rua Maria Fett
03263-010;Rua Vitor de Queiroz Matos
03263-020;Rua Joaquim Abreu Luz
03263-030;Rua Itiruçú
03263-040;Rua Nova Soure
03263-050;Rua Wanda Brandi de Carvalho
03263-060;Rua Bismarque
03263-070;Rua Simão Pereira de Sá
03263-080;Rua Sertão do Cariri
03263-090;Rua Luísa Damasse
03263-110;Rua Roberto Lopes
03263-120;Rua Santanópolis
03263-130;Rua da Borboleta
03264-000;Rua Francisco Fett
03264-010;Rua Professor Rui Vianna Braga
03264-020;Rua David Barione
03264-030;Rua Doutor Sales Gomes Júnior
03264-040;Rua Roque Barbosa Lima
03264-050;Rua Antônio Fontoura Xavier
03264-060;Rua Dona Belica Barbosa Lima
03264-070;Rua Dona Maria Cândida de Lima
03264-080;Rua Barbosa Ferraz
03264-090;Rua Manuel Simões de Medeiros
03264-110;Rua Roberto Ferreira Chagas
03264-120;Rua Miguel Garcia de Souza
03264-130;Rua Maia Lelo
03264-140;Rua Mariano Ferreira
03264-150;Rua Avelino Carvalho
03264-160;Rua Nicolau Martins
03264-170;Rua Constantino do Amaral Tavares
03264-180;Rua Arneiroz
03264-190;Rua Boca do Acre
03264-200;Rua Granadilha
03265-000;Rua Lotus
03265-010;Rua Barlavento
03265-020;Rua Carlos César
03265-030;Travessa Cavaleiros da Concórdia
03265-040;Rua Irajuba
03265-050;Rua Sebastião Mena
03265-060;Rua Ibiporã
03265-070;Rua dos Aires
03265-080;Rua Himalaia
03265-090;Rua dos Tacapes
03265-110;Rua Niterói
03265-120;Rua Mataraca
03265-130;Rua Babi
03265-140;Rua Santo Antônio do Ica
03265-150;Rua Francinópolis
03265-160;Rua Engenheiro Caldas
03265-170;Rua Augusto Lobo de Moura
03265-180;Travessa Novelos da China
03266-000;Rua Doutor Camilo Haddad
03266-010;Rua General Roque da Silva Palmeiro
03266-020;Rua Monsenhor João José de Azevedo
03266-030;Rua José Vanderlei Marconi
03266-040;Rua Luís Pereira da Silva
03266-045;Praça Mendel Hirschfeld
03266-050;Rua Miguel Desiato
03266-060;Rua Luís Romanini
03266-070;Rua Oscar Jufre Romeu
03266-080;Rua Horácio de Andrade
03266-090;Rua Freitas Saldanha
03266-110;Rua Joaquim Lage
03266-120;Rua Florêncio Sanches
03266-130;Rua Bernardo Lisboa
03266-140;Rua João Manoel de Matos
03266-150;Rua Carlos Mendonça
03266-160;Rua Osvaldo Alves Rocha
03266-170;Rua Angelina Gazeta Romanini
03266-180;Rua Alzira Fett Martins
03266-190;Rua Delmiro Gouveia
03266-200;Rua João Gregório Lemos
03266-210;Praça Professor Júlio Scantimburgo
03267-000;Rua Angical do Piauí
03267-010;Rua Tindo
03267-020;Rua Aguti
03267-030;Rua Cordélia
03267-040;Rua Atalaia do Norte
03267-050;Rua Alexandrina Pereira Novaes
03267-060;Rua Divina Pastora
03267-070;Rua Rosicler
03267-080;Rua Nádia
03267-090;Rua Núbia
03267-110;Rua Nova Timboteua
03267-120;Rua Januário Cicco
03267-130;Rua Alexandre dos Santos
03267-140;Rua Ilha de Paquetá
03267-150;Rua Manoel Emídio
03268-000;Rua Santa Maria do Cambuca
03268-005;Rua Azul
03268-010;Rua Itainópolis
03268-020;Rua Amatari
03268-030;Rua Bacia do Suacuí
03268-040;Rua Aparecido Carlos Ferreira Correa
03268-050;Rua Plínio Mota
03268-060;Rua Giovanni Moroni
03268-070;Rua Itapororoca
03268-080;Rua George Morland
03268-090;Rua Ritápolis
03268-110;Rua do Bispo
03268-120;Rua Serrolândia
03268-130;Rua José Carlos Simões de Falco
03268-140;Rua Azedinha do Campo
03268-150;Rua Ângelo Franchini
03268-160;Rua Correia da Câmara
03268-170;Rua Maria Josefa Barreto
03268-180;Rua Carolina Maria de Jesus
03268-190;Rua Marcelo Guedes
03268-200;Rua Corina Coaracy
03268-210;Rua José Escolástica Gomes
03268-220;Rua José Victorino Pereira
03268-230;Rua Aguaçu
03268-240;Via de Pedestre Jerumenha
03269-000;Rua Francisco Pereira de Souza
03269-010;Rua Bono
03269-020;Rua Doutor Tolstoi de Carvalho
03269-030;Rua São Roque
03269-035;Travessa Dezoito de Dezembro
03269-040;Rua Emília Jabur
03269-050;Rua Vitória Jabur
03269-060;Rua Miguel Jabur
03269-070;Rua José Lourenço Figueiredo
03269-080;Rua Frei Walter Kempt
03269-090;Rua Coronel Carvalho Melo
03269-095;Travessa Padre Vitalis Barendse
03269-110;Rua Guido Venture
03269-120;Rua Carlos Rovereli
03269-130;Travessa Dolores Lima
03269-140;Rua Doutor Armillo
03269-150;Rua Euvira Maria de Sá
03269-160;Rua Manhufe
03269-170;Rua Minaretes
03269-180;Rua Fregim
03269-190;Rua Argemil
03269-200;Rua Pedro Hispano
03270-000;Rua Manuel de Arruda Castanho
03270-010;Rua Miracena
03270-020;Rua Senador Sarazate
03270-030;Rua Tenente-Coronel Marcondes dos Santos
03270-040;Rua Padre Luís Roumanie
03270-050;Rua Doutor Otávio Pinto
03270-060;Rua Coronel Marques Santiago
03270-070;Rua Pedro Figueiro
03270-110;Rua Gérson Mendonça
03270-130;Praça Professora Emiko Sato Costa
03271-000;Rua Paulo Pontes
03271-010;Rua Pires Delgado
03271-020;Rua Dona Carmela
03271-030;Rua Nassioseno Gomes Barbosa
03271-040;Rua Egídio Alves da Costa
03271-050;Rua Leandro Bispo de Oliveira
03271-060;Rua Raimundo de Castro
03271-959;Rua Egídio Alves da Costa 50
03271-970;Rua Egídio Alves da Costa 50
03272-000;Rua José Joaquim
03272-010;Rua Obelisco
03272-020;Rua Anita Mendes dos Santos
03272-030;Rua Maria Amélia Pereira da Silva
03272-040;Rua Nicolino Guilherme Cândido
03272-050;Rua Paulo José da Costa
03272-060;Rua Tristão de Alencar Araripe Júnior
03272-070;Rua Alexandre Galera
03272-080;Rua Orlando Chiodi
03272-090;Rua Macaumirim
03272-110;Rua Manoel Cuadrado Martin
03272-120;Rua Vereador Tossio Sigueta
03272-130;Rua Caetano Carlini
03272-140;Rua Líbero Félix Corato
03272-150;Rua Porto Carrero Neto
03272-160;Rua José Dionísio Braga
03273-020;Rua Cupiara
03273-040;Travessa Floriano Balcarce
03273-050;Avenida Luiz Ferreira da Silva
03273-070;Rua Gustavo Riccio
03273-100;Rua São João Evangelista
03273-105;Rua Miguel Melendez
03273-110;Rua Manoel Faria
03273-115;Rua Manoel José de Lima
03273-120;Rua Visconde de Goiana
03273-150;Travessa Dom Pedro Augusto
03273-200;Rua Capitão Militão
03273-300;Rua Tapacoás
03273-310;Rua Janumas
03273-400;Rua Igaratinga
03273-405;Travessa Guarda-Mor
03273-410;Rua Batuns
03273-420;Rua São Frederico
03273-430;Rua Manoel Vieira Pinto
03273-500;Rua Sílvio de Sousa
03273-510;Rua José Cerino de Carvalho
03273-520;Rua Henrique Carlos Corrêa
03273-530;Rua Manoel Maria Moraes
03273-540;Rua Barão de Caçapava
03274-000;Rua Dona Ana Araújo de Paula
03274-010;Rua Antônio Gomes
03274-015;Travessa Itaju do Colônia
03274-020;Rua Catapu
03274-030;Rua Euclides Payão Silveira
03274-040;Rua Antônio Baião
03274-050;Rua Dona Luísa de Paiva Dias
03274-055;Rua Manoel Pilar
03274-060;Rua Zeferino Ferraz
03274-070;Rua João de Carlo
03274-080;Rua Trimonte
03274-090;Rua Diogo Pires Campos
03274-110;Rua Modesto Naclério Homem
03274-120;Rua Princesa Maria Pia
03274-125;Rua Leonie Carrel Sperling
03274-130;Rua Évora
03274-140;Rua Rio do Sul
03274-160;Rua Olímpio José Gonçalves
03274-170;Rua Isaque Valadão de Freitas
03275-000;Rua Solidônio Leite
03275-005;Travessa Roberto Dias Branco
03275-007;Rua Berthília de Camargo e Couto
03275-008;Rua Daniel Mirabelo
03275-009;Travessa Raul Donazar Calvet
03275-010;Rua Gomes
03275-015;Rua Alberto Baldinato
03275-020;Rua Ângelo Agostini
03275-030;Rua Lourenço Torres
03275-040;Rua Tupixás
03275-050;Rua Quatiguá
03275-060;Rua Jabiaçu
03275-070;Rua Antônio Gonzales Munhoz
03275-080;Rua Hermann Frank
03275-090;Rua Genaro Arilla Arensanz
03275-110;Rua José Dipol
03275-120;Rua Waldomiro Pedroso
03275-130;Rua Lélio Landucci
03275-140;Rua Valdemar Celeghin
03275-150;Travessa Cassioneira
03275-160;Rua Frederico Rubly
03275-170;Rua Ribeirópolis
03275-180;Rua Ipiranga do Piauí
03275-900;Rua Solidônio Leite 2718
03275-905;Avenida Vila Ema 2718
03276-000;Rua Lessing
03276-005;Rua Edmea Ladevig
03276-010;Rua Bucuituba
03276-015;Rua Alfredo Pássaro
03276-017;Travessa Lino de Matos Gastão
03276-019;Travessa Milano
03276-020;Rua Gomes Pinto
03276-025;Travessa Ladislau Barta
03276-027;Travessa Engenheiro Pedro Marcos Giannini
03276-030;Rua Dona Paulina Rockx
03276-040;Rua Domingos da Bocaina
03276-050;Rua Henrique
03276-060;Rua Guenter
03276-070;Rua Susana Conti de Oliveira
03276-080;Rua Cantigas do Bem Querer
03276-090;Rua Anísio Quintino Martins
03276-110;Rua Pinto da Luz
03276-111;Travessa São Columba
03276-112;Travessa São Manuel
03276-113;Travessa Antônio Seret
03276-115;Rua Aldeia dos Índios
03276-117;Rua dos Medinas
03276-119;Travessa Rosária Pace de Oliveira
03276-120;Rua Bernardino Pantaleão
03276-130;Rua Atílio Perrela
03276-135;Rua Lobo Leite
03276-140;Rua José de Castro Lima Filho
03276-150;Praça Vilas Unidas
03276-160;Praça Manoel Joaquim
03277-000;Rua Bento Sabino dos Reis
03277-010;Rua James Stolz
03277-015;Travessa Pacheco Lima
03277-020;Rua Augusto Fetzer
03277-025;Travessa Lúcio Alves
03277-030;Rua Roberto Morel
03277-040;Rua Roberto Eduardo
03277-050;Rua Joana Koekler
03277-060;Rua Francisco Floreani
03277-070;Rua João Graeber
03277-080;Rua Taufik Kurban
03277-090;Rua Henrique Gabriel Forli
03277-110;Rua Germano Augusto
03277-120;Rua Carlo Koekler
03278-000;Rua Vaieth
03278-010;Rua Miguel Stach
03278-020;Rua Catarina Stach
03278-030;Rua Gustavo Stach
03278-040;Rua Margarida Stach
03278-050;Rua Teresa Cianci Dardos
03278-060;Rua Benedito Bernardes
03278-070;Rua Capitão Venceslau Japiassu Aragão
03278-080;Rua Tomás Bezzi
03278-090;Rua Luís Pucci
03278-110;Rua Artur Timóteo da Costa
03278-120;Rua Dairel
03278-130;Rua Vicente Guerrero
03278-140;Rua Aquiles Stengel
03278-150;Praça Narciso Antônio Lona
03279-000;Rua Herwis
03279-005;Rua Henrique Suso
03279-010;Rua André de Frias
03279-020;Rua João Tervel Fregoni
03279-030;Rua Aureliano Mourão
03279-040;Rua Ipecumirim
03279-050;Rua Attílio Santucci
03279-060;Rua Teotônio de Oliveira
03279-070;Rua Juan Blas
03279-080;Rua Antônio Gentil
03279-090;Rua Rosa
03279-110;Rua Mariana
03279-120;Rua Iracema
03279-130;Rua Domingos de Melo Tavares
03279-140;Rua André Francisco Xavier
03279-145;Rua Iaguaracá
03279-150;Rua Antônio José Soares
03279-160;Rua Curumataí
03279-170;Rua Sílvio Brant Correia
03279-175;Travessa Antônio Martins Nabarrete
03279-180;Rua Luís Gonçalves
03279-190;Rua Jamaxi
03279-200;Rua Ibirá Barbalho Lopes
03279-210;Rua Adolfo Schnabel
03279-220;Rua Alderizo Henrique
03279-230;Rua Romeu Orsio
03279-240;Rua Paulo Bender
03279-250;Rua Lycurgo de Castro Santos
03279-260;Rua Jitaí
03279-959;Rua Herwis 923
03279-970;Rua Herwis 923
03279-972;Rua Herwis 923
03280-000;Rua Edmundo Juventino Fuentes
03280-010;Rua José de Azevedo Marques
03280-020;Rua Manoel Luiz de Araújo Costa
03280-030;Rua Manuel Joaquim Penteado
03280-035;Praça Possidônio Joaquim de Oliveira
03280-040;Rua Leonídio Porcionato
03280-050;Rua João Rodrigues Pires
03280-060;Rua Engenheiro Leônidas Ferreira
03280-070;Rua Padre Marcel Cutsem
03280-080;Rua João Felipe Corrêa Lisboa
03280-090;Rua Miguel Ferraz da Trindade
03280-110;Rua Acácio Caristo
03280-113;Travessa Centaurea Maior
03280-115;Rua Flamboyant
03280-117;Rua Paim Filho
03280-120;Rua Antônio Moreno Leal
03280-130;Rua José Caristo
03280-140;Travessa Jerônimo Bobadilha
03280-150;Rua José Gomes de Almeida
03280-160;Rua Milton José Theodoro
03280-170;Rua Cassiano Lopes de Souza
03280-180;Praça Galiano Jacomossi
03280-190;Praça Kalil Alle Mamede
03280-900;Rua Edmundo Juventino Fuentes 180
03280-901;Rua Edmundo Juventino Fuentes 160
03281-000;Avenida Vila Ema
03281-001;Avenida Vila Ema
03281-010;Travessa Verbena Sagrada
03281-020;Rua Luís Guerreiro
03281-030;Travessa Maria de Lorena
03281-902;Avenida Vila Ema 3793
03281-903;Avenida Vila Ema 3881
03281-904;Avenida Vila Ema 3883
03282-000;Avenida Vila Ema
03282-001;Avenida Vila Ema
03282-009;Rua Itabirinha de Mantena
03282-013;Rua São Gotardo
03282-015;Rua Nupeba
03282-017;Rua Maria Ribeiro de Carvalho
03282-027;Rua Rosalina Valadão de Freitas
03282-030;Rua Joaquim Pinheiro
03282-035;Rua Manoel Viana
03282-037;Rua Aranaquara
03282-040;Rua Guabiruba
03282-050;Rua Tamanduá
03282-060;Rua Vicente Lotti
03282-070;Rua Recordações
03282-075;Travessa Aida Lacasa
03282-080;Travessa Aníbal Ponce
03282-907;Avenida Vila Ema 3054
03283-000;Rua Uhland
03283-005;Travessa Giuseppe Lillo
03283-007;Rua Tristão Fasioni
03283-008;Rua Kasato Maru
03283-010;Rua Francisco José da Cruz
03283-020;Rua Robério Dias
03283-030;Rua Senador Arlindo Amaral
03283-035;Travessa Irineu Galerani
03283-037;Travessa Hipólito César Veloso Alvarez
03283-040;Praça Francisco Guimarães
03283-050;Rua Heitor de Pinho
03283-060;Rua Antônio Pires de Campos
03283-070;Rua Porto dos Gaúchos
03283-080;Rua Curuaés
03283-085;Travessa Francisco Arigoni
03283-090;Rua Naná
03283-110;Rua Conde Amadeu Barbelini
03283-120;Rua Aníbal de Matos
03283-123;Travessa João Batista Cortes
03283-125;Travessa Lourdes José Alves
03283-127;Rua Nasy Gadelha da Rocha
03283-130;Rua Araújo Porto Alegre
03283-140;Travessa Matilde
03283-150;Rua Bernardo Moreira de Sá
03283-160;Rua Frei João de Santa Clara
03283-170;Rua Serra da Saudade
03283-180;Rua Grenaldo de Jesus da Silva
03283-190;Rua Barros Sobrinho
03283-200;Travessa Alfredo Dabat
03283-210;Praça Emma Nothmann
03283-220;Praça Dionísio de Barros
03283-230;Praça Mauro César Colombo
03283-240;Rua Maestro Armando Belardi
03284-000;Rua Anhumas
03284-010;Rua Guariba
03284-020;Rua Custódio Bertello
03284-030;Rua Poloni
03284-040;Rua Sete Cidades
03284-050;Rua Francisco de Assis Prado
03284-060;Rua Jambeiro
03284-070;Rua Moacir Ramos da Silva
03284-080;Rua Antônio de Paiva Azevedo
03284-090;Rua Águas de Lindóia
03284-110;Rua Aníbal de Alencar
03284-120;Rua Antônio Amâncio
03284-130;Rua Euclides Gonçalves
03284-140;Rua José Luiz de Oliveira
03284-150;Rua Reverendo Simonton
03284-160;Rua Jayme da Silva Telles
03284-170;Rua Ambrósio Ribeiro
03284-180;Rua João Vicente de Brito
03284-190;Praça Joaquim Lopes Guimarães
03286-000;Rua Juiz de Fora
03286-005;Rua Scheffel
03286-010;Rua Isidoro de Sevilha
03286-020;Rua Protágoras
03286-030;Rua Filon
03286-040;Rua José Loureiro das Neves
03286-050;Rua Cambará do Sul
03286-060;Rua Madre Tereza de Andrada
03286-070;Rua Padre Pedro Magnoni
03286-080;Rua Mário Rodrigues
03286-090;Rua Doutor Lázaro Moncef
03286-095;Rua Aires Quaresma
03286-110;Rua Tenente Ary Rauen
03286-120;Rua Frederico Bressan
03286-130;Rua Fernando Fontes
03286-140;Rua Sebastião Cerrato
03286-150;Rua Aspirante Francisco Mega
03286-160;Praça Hereny da Costa
03286-170;Rua Ramis Mendes
03286-180;Rua Felício Tomazini
03286-190;Rua José Varela
03286-200;Rua Iraci Luquina
03286-210;Rua José Baldino
03286-220;Rua Ulpiano dos Santos
03286-230;Rua Hélio Tomás
03286-240;Praça Virgílio Lúcio
03286-250;Praça Hugo Gonçalves
03286-260;Praça Alberigo Gentili
03287-000;Rua Barbacena
03287-010;Rua Heráclito Odilon
03287-020;Rua José Pedro Dias de Carvalho
03287-030;Rua Professor Bourhan Helou
03287-040;Rua João Bernardes
03287-050;Rua Veríssimo Freitas
03287-060;Rua Roda Pião
03287-070;Rua Guaraqueçaba
03287-080;Rua Salto do Lontra
03287-090;Rua Vitautas Losinskas
03287-110;Rua Arraial de Matosinhos
03287-120;Rua Ciríaco Cardoso
03287-125;Rua Agrinco
03287-130;Rua Cleofas Beltran Silvente
03287-140;Rua Ministro Modestino Deloy Gibson
03287-150;Rua Bengalas
03287-160;Rua João Hell
03288-000;Rua Galeão
03288-010;Rua Lobato
03288-020;Rua Ateneu Paulista
03288-030;Rua Aureliano do Amaral
03288-040;Rua Mossoró
03288-050;Rua João Tauler
03288-060;Rua Vermelho Velho
03288-070;Rua Tales
03288-075;Rua Henrique da Paz
03289-000;Rua Benedito Pedroso
03289-005;Rua Benedito da Cruz
03289-007;Rua Rafael Peacan
03289-010;Rua Frei Agostinho da Piedade
03289-020;Rua Independência
03289-030;Rua Silvestre de Miranda
03289-040;Rua Roberto Rohe
03289-050;Rua Waldomiro Moreno Rodrigues
03289-060;Rua Shinsei Kamida
03289-070;Rua Serra do Jabitacá
03289-080;Rua Francisco Paulino Sobrinho
03289-090;Rua Leitão de Barros
03289-110;Rua Padre Atílio Garret
03289-120;Rua Doutor Fábio Sá Barreto
03289-130;Rua Doutor Eugênio Casillo
03289-140;Rua Eduardo Garrido
03289-150;Rua Antônio Muniz Fagundes
03289-160;Rua Posidônio
03289-161;Travessa Mensagem de Natal
03289-165;Travessa dos Tabaques
03294-100;Avenida Professor Luiz Ignácio Anhaia Mello
03294-200;Avenida Professor Luiz Ignácio Anhaia Mello
03294-908;Avenida Vila Ema 4822
03295-000;Avenida Professor Luiz Ignácio Anhaia Mello
03295-100;Avenida Professor Luiz Ignácio Anhaia Mello
03295-909;Avenida Vila Ema 5001
03301-000;Rua Uriel Gaspar
03301-010;Praça Senador Virgílio Távora
03302-000;Avenida Alcântara Machado
03302-010;Rua Brigadeiro Morais
03302-020;Viaduto Pires do Rio
03302-030;Rua Serra da Mantiqueira
03302-040;Rua Monteiro Caminhoá
03303-000;Rua Padre Adelino
03303-005;Vila Rosa Rosália
03303-010;Rua David Zeiger
03303-020;Praça Boca de Dragão
03303-030;Praça Edmundo Benvenutti
03303-050;Vila Trinta de Outubro
03303-900;Rua Padre Adelino 43
03303-902;Rua Padre Adelino 520
03303-904;Rua Padre Adelino 758
03304-000;Rua São Bernardo
03304-010;Rua Caraguataí
03304-020;Rua Vista Alegre
03304-030;Rua Monte Santiago
03304-040;Rua Irapé
03304-050;Rua Ipojuca
03304-060;Rua Santa Lúcia
03304-065;Praça Manoel Borges de Souza Nunes
03304-070;Rua Mamanguape
03304-080;Rua Severínia
03304-090;Avenida Salim Farah Maluf
03304-100;Praça Dora Angélica Fabiano Bayerleim
03304-110;Praça João Fernando de Almeida Prado
03304-120;Praça Armando Miranda
03304-130;Praça Edmundo Migliaccio
03305-000;Rua Bom Sucesso
03305-005;Praça Barra Dourada
03305-010;Rua Terra Roxa
03305-030;Travessa Joanina Marcucci Manzelli
03306-000;Rua Jarinu
03306-010;Rua Domingos Agostim
03306-015;Rua Cruz Alta
03306-020;Rua Icém
03306-030;Rua Fernão Tavares
03306-040;Rua Retiro Grande
03306-050;Rua Francisco Paulo
03306-060;Rua Oriximiná
03306-070;Rua Hugo Napoleão
03306-080;Rua Elisiário
03306-085;Praça Albertina Natel
03306-090;Rua Ipiguá
03306-100;Praça Braúna
03306-900;Rua Domingos Agostim 91
03306-970;Rua Fernão Tavares 135
03307-005;Rua Tuiuti
03307-010;Rua Irmãos Martins
03307-020;Rua Lourenço Correa
03307-030;Travessa Rafael Fins
03307-040;Rua Engenheiro Eurico Arnaldo Guedes de Araújo
03307-050;Travessa Trufas
03307-900;Rua Tuiuti 2562
03308-000;Avenida Azevedo
03308-005;Viaduto Carlos Ferraci
03308-010;Rua Platina
03308-020;Rua Coronel Luís Americano
03308-030;Rua Coronel Joaquim Antônio Dias
03308-040;Praça Coronel Sandoval de Figueiredo
03308-050;Rua Visconde de Itaboraí
03308-055;Rua Pedro Nosralla
03308-060;Rua Fernandes Pinheiro
03308-070;Praça Santa Therezinha
03308-080;Travessa Calixto Calil
03309-000;Rua Serra do Japi
03309-001;Rua Serra do Japi
03309-005;Travessa Antônia Calligaris D'Ambrósio
03309-007;Rua Doutor Mário de Assis Moura Júnior
03309-010;Rua Barro Alto
03309-020;Rua Miguel Venditi
03309-025;Vila Santana
03309-030;Rua Paulistinha
03309-040;Rua Alberto Luchetti
03309-050;Rua Gilberto Barilari
03309-060;Rua Antônio Camardo
03309-959;Rua Serra do Japi 1308
03309-970;Rua Serra do Japi 1308
03310-000;Rua Itapura
03310-001;Via de Pedestre José Cesar
03310-005;Via de Pedestre Francisco Olivares T. Filho
03310-010;Rua Airi
03310-015;Rua Boa Sorte
03310-020;Praça Barão de Itaqui
03310-030;Rua João Migliari
03310-040;Rua Manuel de Freitas
03310-045;Travessa Manuel de Freitas
03310-050;Rua Mastropaulo
03311-000;Rua Apucarana
03311-001;Rua Apucarana
03311-002;Viela Nilta França e Oliveira
03311-007;Rua São Luís
03311-010;Rua Sante Colombara
03311-020;Rua Tariana
03311-030;Rua Terebé
03311-040;Rua Maripá
03311-050;Rua Frutuoso da Costa
03311-060;Rua Fernando Dondon
03311-900;Rua Apucarana 60
03312-000;Rua Monte Serrat
03312-001;Rua Monte Serrat
03312-005;Travessa João de Almeida
03312-006;Rua Viegas Muniz
03312-007;Rua São Jácomo
03312-008;Rua Sebastião Romão Samperi
03312-009;Rua Abílio José Tannus
03312-010;Rua Delfino Casal de Rey
03312-020;Rua Amorinópolis
03312-030;Rua João de Almeida
03312-040;Rua Itaca
03312-050;Rua Martim Pescador
03312-052;Rua Professor Pedreira de Freitas
03312-900;Rua Martim Pescador
03313-000;Rua Francisco Marengo
03313-001;Rua Francisco Marengo
03313-005;Travessa Plácido Pina Martinho
03313-010;Rua Corta Vento
03313-020;Rua Manuel de Autouguia
03313-030;Rua Irmãos Leme
03313-040;Rua Maria Augusto Miranda
03313-050;Rua Garimpos
03313-060;Rua Passos Ourique
03313-900;Rua Padre Diogo Nunes 46
03314-000;Rua Vilela
03314-010;Rua Sousa de Menezes
03314-020;Rua Professor Carlos Zagotis
03314-030;Rua Melo Freire
03315-000;Rua Padre Estevão Pernet
03316-000;Rua Tijuco Preto
03316-010;Rua Isidro Tinoco
03316-020;Rua Vargem Grande
03316-030;Rua Professora Sebastiana Silva Minhoto
03316-040;Praça Ana Jarvis
03316-060;Rua Professora Maria Francisca de Castilho
03316-070;Praça Heitor Levi
03316-080;Praça Afonso de Albuquerque
03316-090;Rua Adamastor
03316-100;Rua Henrique de Vasconcelos
03316-110;Praça Tomás Galhardo
